,Unnamed: 0,Tweets,Source,Likes,RTs,step1,tokens,final_tokens,step2
174,174.0,"RT @andtydt: Waktu teteh @yurayunita mulai nyanyi tuh masih prapris gerimis, tapi yaudah karna teh yura udah mulai nyanyi ujan2an dikit ga…",Twitter for iPhone,0.0,10.0,andtydt waktu teteh yurayunita mulai nyanyi tuh masih prapris gerimis tapi yaudah karna teh yura udah mulai nyanyi ujanan dikit ga,"['andtydt', 'waktu', 'teteh', 'yurayunita', 'mulai', 'nyanyi', 'tuh', 'masih', 'prapris', 'gerimis', 'tapi', 'yaudah', 'karna', 'teh', 'yura', 'udah', 'mulai', 'nyanyi', 'ujanan', 'dikit', 'ga']","['andtydt', 'waktu', 'teteh', 'yurayunita', 'mulai', 'nyanyi', 'tuh', 'masih', 'prapris', 'gerimis', 'tapi', 'yaudah', 'karna', 'teh', 'yura', 'udah', 'mulai', 'nyanyi', 'ujanan', 'dikit', 'ga']",andtydt waktu teteh yurayunita mulai nyanyi tuh masih prapris gerimis tapi yaudah karna teh yura udah mulai nyanyi ujanan dikit ga
175,175.0,@nindyags Samaaaa 🥺,Twitter for iPhone,21.0,0.0,nindyags samaaaa,"['nindyags', 'samaaaa']","['nindyags', 'samaaaa']",nindyags samaaaa
176,176.0,Love language kamu apa?,Twitter for iPhone,733.0,53.0,love language kamu apa,"['love', 'language', 'kamu', 'apa']","['love', 'language', 'kamu', 'apa']",love language kamu apa
177,177.0,RT @hallonic_: AKU KEMANA AJA BARU NONTON FULL ALBUM VIRTUAL CONCERT TUTUR BATINNYA YURA YUNITA 😭😭😭 BAGUS PARAHHHHH 👍👍👍👍👍👍👍😭😭😭🧡🧡🧡🧡🧡🧡 https:…,Twitter for iPhone,0.0,2.0,hallonic_ aku kemana aja baru nonton full album vi ual conce tutur batinnya yura yunita bagus parahhhhh https,"['hallonic_', 'aku', 'kemana', 'aja', 'baru', 'nonton', 'full', 'album', 'vi', 'ual', 'conce', 'tutur', 'batinnya', 'yura', 'yunita', 'bagus', 'parahhhhh', 'https']","['hallonic_', 'aku', 'kemana', 'aja', 'baru', 'nonton', 'full', 'album', 'vi', 'ual', 'conce', 'tutur', 'batinnya', 'yura', 'yunita', 'bagus', 'parahhhhh', 'https']",hallonic_ aku kemana aja baru nonton full album vi ual conce tutur batinnya yura yunita bagus parahhhhh https
178,178.0,@refalhady @initiaraandini https://t.co/mHk5X8KNmZ,Twitter for iPhone,102.0,12.0,refalhady initiaraandini comhk,"['refalhady', 'initiaraandini', 'comhk']","['refalhady', 'initiaraandini', 'comhk']",refalhady initiaraandini comhk
179,179.0,Full house!! 🙌🥹❤️🇲🇨 @JavaJazzFest #javajazz2022 https://t.co/GdCUkgP5Vu,Twitter for iPhone,169.0,20.0,full house javajazzfest cogdcukgpvu,"['full', 'house', 'javajazzfest', 'cogdcukgpvu']","['full', 'house', 'javajazzfest', 'cogdcukgpvu']",full house javajazzfest cogdcukgpvu
180,180.0,"RT @andreaneysaa: big thanks to @yurayunita karena udah bikin nangis sepanjang show, akhirnya bisa ngeluarin semua emosi ini after a very s…",Twitter for iPhone,0.0,17.0,andreaneysaa big thanks to yurayunita karena udah bikin nangis sepanjang show akhirnya bisa ngeluarin semua emosi ini after very,"['andreaneysaa', 'big', 'thanks', 'to', 'yurayunita', 'karena', 'udah', 'bikin', 'nangis', 'sepanjang', 'show', 'akhirnya', 'bisa', 'ngeluarin', 'semua', 'emosi', 'ini', 'after', 'very']","['andreaneysaa', 'big', 'thanks', 'to', 'yurayunita', 'karena', 'udah', 'bikin', 'nangis', 'sepanjang', 'show', 'akhirnya', 'bisa', 'ngeluarin', 'semua', 'emosi', 'ini', 'after', 'very']",andreaneysaa big thanks to yurayunita karena udah bikin nangis sepanjang show akhirnya bisa ngeluarin semua emosi ini after very
181,181.0,"RT @JavaJazzFest: @yurayunita has joined @pjmorton at the BNI Hall. Yes, you read that right, this collaboration is too good to be true!😍 #…",Twitter for iPhone,0.0,15.0,javajazzfest yurayunita has joined pjmorton at the bni hall yes you read that right this collaboration is too good to be true,"['javajazzfest', 'yurayunita', 'has', 'joined', 'pjmorton', 'at', 'the', 'bni', 'hall', 'yes', 'you', 'read', 'that', 'right', 'this', 'collaboration', 'is', 'too', 'good', 'to', 'be', 'true']","['javajazzfest', 'yurayunita', 'has', 'joined', 'pjmorton', 'at', 'the', 'bni', 'hall', 'yes', 'you', 'read', 'that', 'right', 'this', 'collaboration', 'is', 'too', 'good', 'to', 'be', 'true']",javajazzfest yurayunita has joined pjmorton at the bni hall yes you read that right this collaboration is too good to be true
182,182.0,RT @sonofabiccc: AAAAAAAAAA YURA MUNCUL DI SHOWNYA PJ MORTON #JavaJazz2022 #BNIJavaJazz https://t.co/7SIp8CuvQ3,Twitter for iPhone,0.0,5.0,sonofabiccc aaaaaaaaaa yura muncul di shownya pj mo on cosipcuvq,"['sonofabiccc', 'aaaaaaaaaa', 'yura', 'muncul', 'di', 'shownya', 'pj', 'mo', 'on', 'cosipcuvq']","['sonofabiccc', 'aaaaaaaaaa', 'yura', 'muncul', 'di', 'shownya', 'pj', 'mo', 'on', 'cosipcuvq']",sonofabiccc aaaaaaaaaa yura muncul di shownya pj mo on cosipcuvq
183,183.0,RT @PasukanPawkemon: @yurayunita bagus bangeeett penampilannya😭😭 https://t.co/rxt9xDVJIE,Twitter Web App,0.0,12.0,pasukanpawkemon yurayunita bagus bangeeett penampilannya co,"['pasukanpawkemon', 'yurayunita', 'bagus', 'bangeeett', 'penampilannya', 'co']","['pasukanpawkemon', 'yurayunita', 'bagus', 'bangeeett', 'penampilannya', 'co']",pasukanpawkemon yurayunita bagus bangeeett penampilannya co
186,186.0,"RT @yourstruelie__: Depan stage banget bisa nonton @yurayunita , sampe pulang pulang nangis karna di notice dia HAHAHAHA tapi maaf bgt suar…",Twitter for iPhone,0.0,3.0,yourstruelie__ depan stage banget bisa nonton yurayunita sampe pulang pulang nangis karna di notice dia hahahaha tapi maaf bgt suar,"['yourstruelie__', 'depan', 'stage', 'banget', 'bisa', 'nonton', 'yurayunita', 'sampe', 'pulang', 'pulang', 'nangis', 'karna', 'di', 'notice', 'dia', 'hahahaha', 'tapi', 'maaf', 'bgt', 'suar']","['yourstruelie__', 'depan', 'stage', 'banget', 'bisa', 'nonton', 'yurayunita', 'sampe', 'pulang', 'pulang', 'nangis', 'karna', 'di', 'notice', 'dia', 'hahahaha', 'tapi', 'maaf', 'bgt', 'suar']",yourstruelie__ depan stage banget bisa nonton yurayunita sampe pulang pulang nangis karna di notice dia hahahaha tapi maaf bgt suar
187,187.0,Jangan macem-macem kamu! Mau saya bawa ke meja makan? https://t.co/NUDEs78keB,Twitter for iPhone,550.0,33.0,jangan macem macem kamu mau saya bawa ke meja makan conudeskeb,"['jangan', 'macem', 'macem', 'kamu', 'mau', 'saya', 'bawa', 'ke', 'meja', 'makan', 'conudeskeb']","['jangan', 'macem', 'macem', 'kamu', 'mau', 'saya', 'bawa', 'ke', 'meja', 'makan', 'conudeskeb']",jangan macem macem kamu mau saya bawa ke meja makan conudeskeb
188,188.0,See you 🤍 https://t.co/QeW0ZN6ID7,Twitter for iPhone,350.0,23.0,see you coqewznid,"['see', 'you', 'coqewznid']","['see', 'you', 'coqewznid']",see you coqewznid
189,189.0,Kenapa belum tidur?,Twitter for iPhone,306.0,24.0,kenapa belum tidur,"['kenapa', 'belum', 'tidur']","['kenapa', 'belum', 'tidur']",kenapa belum tidur
190,190.0,Ada yang mendengar untuk memahami. Ada juga yang mendengar hanya untuk menunggu kesempatannya berbicara.,Twitter for iPhone,28437.0,9168.0,ada yang mendengar untuk memahami ada juga yang mendengar hanya untuk menunggu kesempatannya berbicara,"['ada', 'yang', 'mendengar', 'untuk', 'memahami', 'ada', 'juga', 'yang', 'mendengar', 'hanya', 'untuk', 'menunggu', 'kesempatannya', 'berbicara']","['ada', 'yang', 'mendengar', 'untuk', 'memahami', 'ada', 'juga', 'yang', 'mendengar', 'hanya', 'untuk', 'menunggu', 'kesempatannya', 'berbicara']",ada yang mendengar untuk memahami ada juga yang mendengar hanya untuk menunggu kesempatannya berbicara
191,191.0,Kira kira ada berapa banyak ya orang di Indonesia yang merasa “kesepian” ? Apakah kamu termasuk?,Twitter for iPhone,19569.0,2319.0,kira kira ada berapa banyak ya orang di indonesia yang merasa kesepian apakah kamu termasuk,"['kira', 'kira', 'ada', 'berapa', 'banyak', 'ya', 'orang', 'di', 'indonesia', 'yang', 'merasa', 'kesepian', 'apakah', 'kamu', 'termasuk']","['kira', 'kira', 'ada', 'berapa', 'banyak', 'ya', 'orang', 'di', 'indonesia', 'yang', 'merasa', 'kesepian', 'apakah', 'kamu', 'termasuk']",kira kira ada berapa banyak ya orang di indonesia yang merasa kesepian apakah kamu termasuk
192,192.0,#EidMubarak Family #zoomchallenge 🌙🤍 https://t.co/FPuyNuoLsd,Twitter for iPhone,23682.0,3565.0,family cofpuynuolsd,"['family', 'cofpuynuolsd']","['family', 'cofpuynuolsd']",family cofpuynuolsd
193,193.0,Selalu ingat kita pernah sembuh dari luka yang dulu bikin kita terpuruk. Berkali-kali kita pernah jatuh dan bangkit… https://t.co/1Nlm6TA1jD,Twitter for iPhone,38628.0,15708.0,selalu ingat kita pernah sembuh dari luka yang dulu bikin kita terpuruk berkali kali kita pernah jatuh dan bangkit conlmtajd,"['selalu', 'ingat', 'kita', 'pernah', 'sembuh', 'dari', 'luka', 'yang', 'dulu', 'bikin', 'kita', 'terpuruk', 'berkali', 'kali', 'kita', 'pernah', 'jatuh', 'dan', 'bangkit', 'conlmtajd']","['selalu', 'ingat', 'kita', 'pernah', 'sembuh', 'dari', 'luka', 'yang', 'dulu', 'bikin', 'kita', 'terpuruk', 'berkali', 'kali', 'kita', 'pernah', 'jatuh', 'dan', 'bangkit', 'conlmtajd']",selalu ingat kita pernah sembuh dari luka yang dulu bikin kita terpuruk berkali kali kita pernah jatuh dan bangkit conlmtajd
194,194.0,Melepaskan itu sulit ya. Tapi ga bisa jadi diri sendiri saat sama dia pun lebih sulit lagi.,Twitter for iPhone,26611.0,6925.0,melepaskan itu sulit ya tapi ga bisa jadi diri sendiri saat sama dia pun lebih sulit lagi,"['melepaskan', 'itu', 'sulit', 'ya', 'tapi', 'ga', 'bisa', 'jadi', 'diri', 'sendiri', 'saat', 'sama', 'dia', 'pun', 'lebih', 'sulit', 'lagi']","['melepaskan', 'itu', 'sulit', 'ya', 'tapi', 'ga', 'bisa', 'jadi', 'diri', 'sendiri', 'saat', 'sama', 'dia', 'pun', 'lebih', 'sulit', 'lagi']",melepaskan itu sulit ya tapi ga bisa jadi diri sendiri saat sama dia pun lebih sulit lagi
195,195.0,Tuhan maha tau yang terbaik buat aku. Selalu jadi pengingat bahwa semuanya akan selalu baik-baik saja,Twitter for iPhone,20915.0,8091.0,tuhan maha tau yang terbaik buat aku selalu jadi pengingat bahwa semuanya akan selalu baik baik saja,"['tuhan', 'maha', 'tau', 'yang', 'terbaik', 'buat', 'aku', 'selalu', 'jadi', 'pengingat', 'bahwa', 'semuanya', 'akan', 'selalu', 'baik', 'baik', 'saja']","['tuhan', 'maha', 'tau', 'yang', 'terbaik', 'buat', 'aku', 'selalu', 'jadi', 'pengingat', 'bahwa', 'semuanya', 'akan', 'selalu', 'baik', 'baik', 'saja']",tuhan maha tau yang terbaik buat aku selalu jadi pengingat bahwa semuanya akan selalu baik baik saja
196,196.0,Rasa tenang mungkin belum juga kunjung datang tapi lagu-lagu yang bikin kamu tenang mungkin ada di playlist Tenangk… https://t.co/yucp3OwRZJ,Twitter Media Studio,66.0,6.0,rasa tenang mungkin belum juga kunjung datang tapi lagu lagu yang bikin kamu tenang mungkin ada di playlist tenangk coyucpowrzj,"['rasa', 'tenang', 'mungkin', 'belum', 'juga', 'kunjung', 'datang', 'tapi', 'lagu', 'lagu', 'yang', 'bikin', 'kamu', 'tenang', 'mungkin', 'ada', 'di', 'playlist', 'tenangk', 'coyucpowrzj']","['rasa', 'tenang', 'mungkin', 'belum', 'juga', 'kunjung', 'datang', 'tapi', 'lagu', 'lagu', 'yang', 'bikin', 'kamu', 'tenang', 'mungkin', 'ada', 'di', 'playlist', 'tenangk', 'coyucpowrzj']",rasa tenang mungkin belum juga kunjung datang tapi lagu lagu yang bikin kamu tenang mungkin ada di playlist tenangk coyucpowrzj
197,197.0,"Kebenaran akan terdengar oleh telinga batinmu, terlihat oleh mata batinmu, dan terasa oleh rasa batinmu.",Twitter for iPhone,12905.0,3691.0,kebenaran akan terdengar oleh telinga batinmu terlihat oleh mata batinmu dan terasa oleh rasa batinmu,"['kebenaran', 'akan', 'terdengar', 'oleh', 'telinga', 'batinmu', 'terlihat', 'oleh', 'mata', 'batinmu', 'dan', 'terasa', 'oleh', 'rasa', 'batinmu']","['kebenaran', 'akan', 'terdengar', 'oleh', 'telinga', 'batinmu', 'terlihat', 'oleh', 'mata', 'batinmu', 'dan', 'terasa', 'oleh', 'rasa', 'batinmu']",kebenaran akan terdengar oleh telinga batinmu terlihat oleh mata batinmu dan terasa oleh rasa batinmu
198,198.0,"Menuju Bandung, ga sabar ketemu @HipHipYURA 🙌",Twitter for iPhone,55.0,4.0,menuju bandung ga sabar ketemu hiphipyura,"['menuju', 'bandung', 'ga', 'sabar', 'ketemu', 'hiphipyura']","['menuju', 'bandung', 'ga', 'sabar', 'ketemu', 'hiphipyura']",menuju bandung ga sabar ketemu hiphipyura
